"","PC1","PC2","Cluster"
"AGO",-1.35059297792414,0.0298570373131572,2
"ALB",0.954933700372046,0.567318237144668,1
"ARE",-1.05333546731174,0.34286502043688,2
"ATG",-1.95727305644375,0.156248330346074,2
"AUT",-1.24937031450102,-0.15263445947866,2
"AZE",1.3742870026267,0.538085524624998,1
"BDI",1.02214772161126,0.588043781011358,1
"BEL",-1.09387438777977,-0.081414394753761,2
"BEN",-1.84645768799473,0.157352704309995,2
"BFA",-0.722442323993154,0.352126787202969,2
"BGR",-0.808362574009889,-0.008131357566811,2
"BHR",-1.84100683624943,0.238321766628266,2
"BLZ",0.589074663090159,0.417702715804026,1
"BOL",1.24700583549899,-0.00616284804556851,1
"BWA",-1.20511728595247,0.233925394511988,2
"CAF",-3.11570480811312,-0.048897202115717,2
"CAN",-0.233185697168595,-3.37147608098429,3
"CHN",2.68786443701485,-4.04824514807655,3
"CIV",-0.430996620821816,0.233904862226977,2
"CMR",0.115640452927396,0.185163076093935,1
"COG",-2.5145961737183,-0.541950944073842,2
"CYP",-0.439099190568784,0.408323368802192,2
"CZE",-1.73909795052833,-0.0306563048690995,2
"DEU",-1.64109060673,-0.265515052009259,2
"DNK",-1.01196317360077,0.300299696104993,2
"DZA",-0.380594231684881,0.384163079576825,2
"EGY",0.65739112562341,0.324752002528849,1
"ESP",0.46387000796147,0.183543582708691,1
"FIN",-0.689025543355157,-0.0745967262952162,2
"FJI",0.042395787780328,0.343556523347574,1
"FRA",-0.918802818195701,-0.374058523766624,2
"GAB",-1.4420151863819,0.187415414548322,2
"GEO",-1.05833051935674,0.165428287672835,2
"GHA",0.474409072552068,0.422380623931554,1
"GIN",-0.0335106645569941,0.199070526055958,1
"GMB",-1.03926991191912,0.231460312457846,2
"GNB",0.489084368359579,0.458463886121022,1
"GNQ",-2.52177457696622,0.0986657883393288,2
"GRC",0.57020315871254,0.342852675328895,1
"GUY",2.71279946316312,0.739699813483678,1
"HTI",0.855296700521902,0.522150466175812,1
"HUN",-0.759823211178775,-0.187419671997784,2
"IDN",1.27032094283309,-2.07065145585884,3
"IND",2.50505978906825,-2.63826908381684,3
"IRL",-2.44916276067017,-0.0327262826498662,2
"IRN",1.76561200782957,0.3095444763489,1
"IRQ",0.953488927190971,0.286841031873913,1
"ISL",-1.34468084246495,-0.279698986363534,2
"ISR",-0.845126129949298,0.328178563363454,2
"ITA",-0.381226869811242,-0.0914786122254961,2
"JAM",-1.04605463265555,0.0845072817732592,2
"JOR",-0.829430821926658,0.353755694264633,2
"JPN",0.315841153473951,-0.336611086855402,1
"KAZ",0.323474418549612,0.129379742946344,1
"KEN",1.53798039604449,0.682079057301564,1
"KGZ",1.62188396501488,0.611721974432892,1
"KOR",-0.162378653205108,0.247147554448639,2
"KWT",-0.546262905453495,0.3912857960581,2
"LBN",-0.232767080260163,0.201977306096853,2
"LBR",-1.70802693658535,-0.0713300472136227,2
"LBY",0.70153073675934,0.519667328675862,1
"LKA",1.43166577446559,0.585741703485862,1
"LSO",-1.12099363285001,0.169909267508102,2
"MAR",0.878416430328196,0.483147733121286,1
"MDA",-0.969505015997621,-0.0308555801807768,2
"MDG",1.49522371462654,0.221920255620364,1
"MDV",-3.51540100067681,0.0407959366948585,2
"MLI",1.48312376742211,0.416335105497347,1
"MMR",1.24019968332326,-1.43148802760282,1
"MNG",0.679977077645728,0.38391604953818,1
"MOZ",0.914734212460651,0.326114947991438,1
"MRT",1.6625661640552,0.662234181525867,1
"MUS",-0.809008211723364,0.351517123468754,2
"MWI",2.67522487218354,0.881892171196589,1
"MYS",-0.301066762829095,-0.403694544950564,2
"NAM",0.75678098276104,0.471029460620003,1
"NER",2.55617905310594,0.798576071367234,1
"NGA",-0.867157469980325,-0.168371006100879,2
"NLD",-1.10795559824778,-0.224685296807927,2
"NZL",0.457321085988871,-0.0330775380627936,1
"OMN",0.94181796224836,0.52177472290931,1
"PAK",1.45043356491731,0.0676399512381562,1
"POL",-0.956395331048058,-0.0742964501886118,2
"PRI",-1.27301620834206,-0.0447748512786964,2
"PRT",0.185250211413072,0.177370798193066,1
"PRY",0.747206994135724,0.0656213726662303,1
"QAT",-1.67223397943929,0.243481918093135,2
"ROU",-0.564442968852453,-0.273505585377577,2
"RUS",0.136460292783483,-5.32856618804307,3
"SAU",0.669251930054261,0.510954718753207,1
"SEN",1.0607805647687,0.528731939149538,1
"SGP",-1.6269871737323,0.0547259806688503,2
"SLE",-1.71413491193196,-0.00651167791514769,2
"SLV",-0.491007837289536,0.272299982178796,2
"SOM",2.37175734902767,0.769955112694859,1
"SUR",0.642864417434798,0.384156174822377,1
"SVK",-2.10544186084004,-0.0641418985494742,2
"SWE",-1.62330662998867,-0.251995356255711,2
"SWZ",3.13135511700921,0.971828024856024,1
"TCD",1.15974208655914,0.516274098877209,1
"TGO",-1.76568640473682,0.231543923586591,2
"TJK",1.96145549810231,0.666538014877826,1
"TKM",1.09138223455237,0.473018805477332,1
"TUN",0.360345288697981,0.481680589892983,1
"TUR",0.901156747032391,0.0756328733204131,1
"TZA",1.22329062434519,0.487014418033561,1
"UGA",-1.19653649073982,0.263991869323791,2
"UKR",-0.539738531713312,-0.0644544240421066,2
"URY",0.873616755150778,0.426328131614476,1
"USA",0.78873919805076,-5.26947851948177,3
"UZB",1.15363622623241,0.458088688943649,1
"VNM",1.87528609612222,-0.912107905167128,1
"ZAF",0.395899974131852,0.340056438811458,1
"ZMB",1.2249404418245,0.442169823410712,1
"ZWE",1.03216922340548,0.570693646568311,1
